precio_mxn,m2,recamaras,banos,medios_banos,estacionamientos,antiguedad_anos,pisos,direccion,latitud,longitud,roof_garden,alberca,url,tipo
3045000,72.0,3,2,2,2.0,,1,"Departamento en Venta, La Noria, Provincia de Puebla",19.0377728,-98.22675079999999,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-la-noria-148175588.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=24,departamentos
2245000,86.0,3,2,2,2.0,5.0,1,"Torre Puente de Mexico, Zona Forjadores",19.0689144,-98.2408716,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-torre-puente-de-mexico-zona-148689050.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=25,departamentos
1948993,26.0,3,1,1,,,1,"Departamento en Preventa en Sonata, Lomas de Angelópolis, Puebla, Provincia de Puebla",18.9905626814,-98.2784154995,0,1,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-preventa-en-sonata-lomas-de-149317993.html?n_src=Listado&n_pills=Alberca&n_pg=1&n_pos=26,departamentos
1472000,50.0,2,2,1,1.0,,1,"Venta de Departamento 2 Recamaras en El Centro Historico de Puebla, Provincia de Puebla",19.0519479,-98.19409139999999,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-de-departamento-2-recamaras-en-el-centro-149187318.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=27,departamentos
2200000,85.0,3,2,1,1.0,4.0,1,"Torre Arboladas, Zona Arboledas de Loma Bella, Puebla",18.9841476208,-98.2257104362,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-torre-arboladas-zona-149767079.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=28,departamentos
1200000,80.0,3,3,1,1.0,,1,"Departamentos en Venta de 3 Recamaras 80 m² Zona Capu Estadios Central de Abastos Hospital del Norte, Provincia de Puebla",19.07863608638095,-98.18386283648228,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-en-venta-de-3-recamaras-80-m-sup2--zona-143355829.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=29,departamentos
2145000,72.0,3,2,2,2.0,,1,"Departamento en Venta, Camino Real a Cholula, Provincia de Puebla",19.0487407,-98.2613902,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-camino-real-a-cholula-149498008.html?n_src=Listado&n_pills=Escuelas+cercanas&n_pg=1&n_pos=30,departamentos
2750000,91.0,3,2,2,2.0,1.0,1,"Huexotitla, Provincia de Puebla",19.0283095,-98.2064749,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-en-venta-en-huexotitla-148927696.html?n_src=Listado&n_pills=Terraza&n_pg=2&n_pos=2,departamentos
1000000,55.0,2,2,1,1.0,,1,"Venta de Departamentos en Centro de Puebla a 8 Minutos de Plaza Dorada a 10 Minutos de Buap, Provincia de Puebla",19.03868630408214,-98.1812511560587,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-de-departamentos-en-centro-de-puebla-a-8-minutos-66903918.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=2&n_pos=8,departamentos
2690000,100.0,2,2,2,1.0,,1,"Departamento en Venta, Cholula, Puebla, Provincia de Puebla",19.0504484,-98.2603955,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-cholula-puebla-149037780.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=2&n_pos=11,departamentos
3680000,92.0,3,2,2,2.0,3.0,1,"Torre El Cerro, Zona La Paz, Provincia de Puebla",19.0558043,-98.2251366,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-torre-el-cerro-zona-la-paz-148684299.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=2&n_pos=12,departamentos
